ID,Category,Name,Sub Category
459,Experience,"test & test rig instrumentation, test execution & data processing ",experience
460,Experience,HIL test systems like Speedgoat and NI,experience
461,Special_Knowledge,Bus modelling & Simulation and HIL development,
462,Special_Knowledge,electrical and communication architectures ,
463,Special_Knowledge,CIP,
464,Special_Knowledge,REFA,
465,Special_Knowledge,ISO 19011,
466,Special_Knowledge,EASA  Part 21J / EASA Part 21G,
467,Special_Knowledge,EN9100,
468,Education,aeronautical engineering ,Studies
469,Experience,Flight Dynamics ,experience
470,Experience,Handling Qualities ,experience
471,Special_Knowledge,Matlab/Simulink ,
472,Special_Knowledge,CS23/ CS25 or CS27/ CS29 ,
473,Education,Abgeschlossenes Studium der Wirtschaftsinformatik,"Abgeschlossenes Studium der Wirtschaftsinformatik, Informatik, Ingenieurwissen-schaften, Physik, Mathematik oder einer verwandten Fachrichtung"
474,Special_Knowledge,Sehr gute Kenntnisse mit Teamcenter Enterprise und dessen Datenmodell,
475,Additional_Qualification,Erfahrung in der Entwicklung von Enterprise IT-Systemen ,
476,Experience,Kommissionieren,Warenausgabe
477,Education,Fachkraft Lagerlogistik,gewerblich
478,Education,Aerospace or Electrical Engineering ,studies
479,Experience,Motor Design/ Electrical machines,experience
480,Special_Knowledge,Aerospace requirements engineering and ARP4754,
481,Special_Knowledge,PDM/PLM ,
482,Special_Knowledge,DOORS,
483,Special_Knowledge,general design principles and technical correlations ,
484,Education,"-	abgeschlossenes Studium der Fachrichtung BWL, Gesundheitsmanagement oder So-zialwesen oder vergleichbare Ausbildung",Studium
485,Special_Knowledge,-	einschlägige Berufserfahrung im Bereich Disability- bzw. Fallmanagement,
486,Special_Knowledge,-	fundierte Kenntnisse im Arbeits- und Sozialrecht sowie der Sozialsysteme,
487,Additional_Qualification,-	Zusatzqualifikation zum CDMP Certified-Disability-Manager wünschenswert,
488,Education,•	Erfolgreich abgeschlossenes Studium oder Technikerausbildung in der Fachrichtung Informatik,Studium
489,Education,Berufsausbildung als Elektrofachkraft vorteilhaft,Ausbildung
490,Special_Knowledge,Fundierte Kenntnisse in der objektorientierten Softwareentwicklung auf Basis Microsoft .NET,
491,Special_Knowledge,Idealerweise Erfahrung mit OPC UA,
492,Special_Knowledge,Versierter Umgang mit Windows wie auch Linux,
493,Experience,"battery pack design and simulation, including thermal run-away",Experience
494,Special_Knowledge,CFD and heat transfer modeling,
495,Special_Knowledge,fluid dynamics,
496,Special_Knowledge,thermal design principles,
497,Special_Knowledge,StarCCM+ ,
498,Education,Electrical Engineering,Studies
499,Education,Physics ,Studies
500,Experience,Antennas and RF System,Experience
501,Experience,Antenna Specification/Installation ,Experience
502,Special_Knowledge,antenna qualification process according to DO-160 standards,
503,Special_Knowledge,EMC analysis for System and components ,
504,Education,Engineering,Studies
505,Experience,project management ,Experience
506,Special_Knowledge,"electronics/electrical, mechanical, and battery technologies",
507,Special_Knowledge,"electronics/electrical, mechanical, and battery technologies ",
508,Education,"Ingenieur mit Fachrichtung Elektrotechnik / Elektronik, Mechatronik, Automatisierungstechnik. Techniker mit einer vergleichbaren Fachrichtung",Ausbildung
509,Additional_Qualification,"Praktische Erfahrungen auf dem Gebiet der Entwicklung und Wartung von elektronischen Systemen, der der Messtechnik sowie von Automated Test Equipment (ATE)",
510,Special_Knowledge,Kenntnisse in der Messtechnik sowie Regelungstechnik,
511,Special_Knowledge,"ATE, dSPACE control desk",
512,Education,Technician degree,Apprenticeship
513,Experience,Certifying Staff,Berufserfahrung
514,Special_Knowledge,"Aviation Regulations and quality processes like APQP, QCP, SPC, PPS",
515,Special_Knowledge,"knowledge in electronic, mechanic as well as composite",
516,Additional_Qualification,Part66 B2 / C license,
517,Special_Knowledge,Part66 B2 / C license,
518,Education,Studium Werkstofftechnik oder naturwissenschaftliches Studium mit Schwerpunkt metallische Werkstoffe,Studium Werkstofftechnik
519,Special_Knowledge,"Ausgeprägtes Fachwissen über die Wechselwirkungen von Fügeprozessen (Schweißen/Löten), Mikrostruktur und mechanischen Eigenschaften von Nickelbasis Superlegierungen",
522,Additional_Qualification,Grundlegendes Verständnis über Belastungen und Auslegungsprozesse von Turbinenkomponenten von Vorteil,
520,Special_Knowledge,"Über die Charakterisierung von Werkstoffgefügen, idealerweise praktische Erfahrung im Umgang mit : REM, TEM, XRD oder DTA",
521,Special_Knowledge,Spezialkenntnisse in der Anwendung von Materialsimulation (Computational Materials Engineering). Anwendungserfahrung mit einem gängigen FE-Solver von Vorteil,
523,Special_Knowledge,Eigenständigen Entwicklung von Applikationen in einem maschinennahen Umfeld unter Verwendung von .NET,
524,Education,Electrician,Apprenticeship
525,Experience,Electrician,Work Experience
526,Special_Knowledge,Personalwesen,
527,Language,Serbisch,
528,Education,Computer Science,Studies
529,Experience,Experience in functional safety systems / security engineering,Work experience
530,Special_Knowledge,"-	Working knowledge of at least one of the following security standards/guidelines (DO-326A/ED-202A series, ISO 27000, SAE J3061, ISA/IEC 62443)",
531,Special_Knowledge,Hochregal,
532,Special_Knowledge,Bedienung Flurförderfahrzeuge,
533,Special_Knowledge,ManUp-Stapler,
534,Experience,Logistics Expert,Work experience
535,Special_Knowledge,Customs,
536,Experience,Betriebsrat,Berufserfahrung
537,Special_Knowledge,Erfahrung in Konzernen bzgl. übergeordneter Mitbestimmungsstrukturen sind von Vorteil ,
538,Special_Knowledge,Darüber hinaus besitzen Sie ein solides Maß an Kenntnissen der betrieblichen Mitbestimmung,
539,Special_Knowledge,Die Verbesserung von Prozessabläufen und deren Optimierung durch digitale Anwendungen ist ihnen nicht fremd,
540,Additional_Qualification,Erfahrung bei der Unterstützung und Organisation  von Projekten ,
541,Special_Knowledge,Harness Routing,
542,Special_Knowledge,Siemens NX,
543,Experience,Aerospace Engineer,Work Experience
544,Special_Knowledge,ATA-27,
545,Special_Knowledge,ARP-4754A and ARP-4761,
546,Education,"Aerospace Engineering, Mechanical/Vehicle Engineering or Electrical Engineering ",Studies
547,Experience,aerospace industry ,experience
548,Special_Knowledge,flight testing ,
549,Special_Knowledge,propulsion systems ,
550,Special_Knowledge,Project management ,
551,Special_Knowledge,CAD system,
552,Experience,production equipment procurement,experience
553,Special_Knowledge,automated flow line ,
554,Special_Knowledge,technical products and state of the arts technology,
555,Special_Knowledge,"Identification of Potential Suppliers, Supplier Selection & Contracting",
556,Special_Knowledge,Travelmanagement,
557,Language,Spanisch wünschenswert,
558,Education,Industrial Electrician,Apprenticeship
559,Education,Pädagogik,Bildung
560,Experience,Personalentwicklung,Bildung
561,Special_Knowledge,Personalentwicklung,
562,Special_Knowledge,Erwachsenenbildung,
563,Additional_Qualification,Entwicklung multimedialer Weiterbildungsangebote,
